s0;s1;s2;s3;s4
4120;3963;3662;3831;4172;
4120;3963;3662;3831;4172;
4064;3887;3659;3769;4111;
4064;3887;3659;3769;4111;
4064;3887;3659;3769;4111;
4238;4095;3860;3939;4290;
4238;4095;3860;3939;4290;
4238;4095;3860;3939;4290;
4279;4157;3848;3991;4341;
4279;4157;3848;3991;4341;
4279;4157;3848;3991;4341;
4138;3987;3672;3851;4187;
4138;3987;3672;3851;4187;
4063;3887;3646;3764;4111;
4063;3887;3646;3764;4111;
4063;3887;3646;3764;4111;
4226;4080;3852;3922;4282;
4226;4080;3852;3922;4282;
4281;4157;3861;3991;4350;
4281;4157;3861;3991;4350;
4281;4157;3861;3991;4350;
4157;3999;3679;3864;4199;
4157;3999;3679;3864;4199;
4157;3999;3679;3864;4199;
4074;3898;3646;3769;4117;
4074;3898;3646;3769;4117;
4074;3898;3646;3769;4117;
4206;4050;3832;3900;4261;
4206;4050;3832;3900;4261;
4294;4172;3880;4005;4354;
4294;4172;3880;4005;4354;
4294;4172;3880;4005;4354;
4166;4017;3698;3875;4216;
4166;4017;3698;3875;4216;
4166;4017;3698;3875;4216;
4075;3905;3645;3775;4118;
4075;3905;3645;3775;4118;
4192;4031;3812;3889;4243;
4192;4031;3812;3889;4243;
4192;4031;3812;3889;4243;
4292;4170;3882;4006;4358;
4292;4170;3882;4006;4358;
4292;4170;3882;4006;4358;
4180;4036;3711;3897;4233;
4180;4036;3711;3897;4233;
4078;3906;3646;3781;4126;
4078;3906;3646;3781;4126;
4078;3906;3646;3781;4126;
4171;4015;3791;3867;4226;
4171;4015;3791;3867;4226;
4171;4015;3791;3867;4226;
4289;4169;3901;4004;4362;
4289;4169;3901;4004;4362;
4289;4169;3901;4004;4362;
4195;4054;3732;3913;4243;
4195;4054;3732;3913;4243;
4085;3912;3653;3790;4126;
4085;3912;3653;3790;4126;
4085;3912;3653;3790;4126;
4214;4074;3757;3932;4260;
4214;4074;3757;3932;4260;
4214;4074;3757;3932;4260;
4088;3926;3658;3795;4138;
4088;3926;3658;3795;4138;
4136;3965;3741;3833;4185;
4136;3965;3741;3833;4185;
4136;3965;3741;3833;4185;
4289;4166;3899;3998;4353;
4289;4166;3899;3998;4353;
4289;4166;3899;3998;4353;
4229;4097;3770;3945;4285;
4229;4097;3770;3945;4285;
4229;4097;3770;3945;4285;
4096;3931;3646;3802;4138;
4096;3931;3646;3802;4138;
4117;3956;3727;3820;4166;
4117;3956;3727;3820;4166;
4117;3956;3727;3820;4166;
4277;4154;3895;3988;4346;
4277;4154;3895;3988;4346;
4243;4113;3791;3957;4297;
4243;4113;3791;3957;4297;
4243;4113;3791;3957;4297;
4107;3940;3659;3812;4148;
4107;3940;3659;3812;4148;
4107;3940;3659;3812;4148;
4100;3926;3701;3799;4151;
4100;3926;3701;3799;4151;
4269;4138;3891;3977;4336;
4269;4138;3891;3977;4336;
4269;4138;3891;3977;4336;
4258;4128;3818;3969;4308;
4258;4128;3818;3969;4308;
4118;3950;3653;3821;4160;
4118;3950;3653;3821;4160;
4118;3950;3653;3821;4160;
4082;3911;3667;3782;4130;
4082;3911;3667;3782;4130;
4082;3911;3667;3782;4130;
4266;4129;3886;3964;4326;
4266;4129;3886;3964;4326;
4268;4138;3826;3978;4329;
4268;4138;3826;3978;4329;
4268;4138;3826;3978;4329;
4117;3953;3658;3823;4166;
4117;3953;3658;3823;4166;
4117;3953;3658;3823;4166;
4068;3893;3657;3769;4116;
4068;3893;3657;3769;4116;
4068;3893;3657;3769;4116;
4242;4103;3859;3949;4311;
4242;4103;3859;3949;4311;
4271;4147;3846;3995;4344;
4271;4147;3846;3995;4344;
4271;4147;3846;3995;4344;
4132;3971;3660;3839;4178;
4132;3971;3660;3839;4178;
4132;3971;3660;3839;4178;
