s0;s1;s2;s3;s4
1990;3358;3742;3148;2425;
1990;3358;3742;3148;2425;
1990;3358;3742;3148;2425;
1904;3272;3669;3084;2342;
1904;3272;3669;3084;2342;
1980;3350;3741;3147;2418;
1980;3350;3741;3147;2418;
1980;3350;3741;3147;2418;
2098;3482;3870;3249;2536;
2098;3482;3870;3249;2536;
2098;3482;3870;3249;2536;
2021;3394;3779;3177;2462;
2021;3394;3779;3177;2462;
1898;3272;3662;3080;2343;
1898;3272;3662;3080;2343;
1898;3272;3662;3080;2343;
1930;3299;3696;3105;2366;
1930;3299;3696;3105;2366;
1930;3299;3696;3105;2366;
2077;3471;3857;3236;2519;
2077;3471;3857;3236;2519;
2077;3471;3857;3236;2519;
2051;3426;3816;3204;2490;
2051;3426;3816;3204;2490;
1916;3277;3679;3087;2358;
1916;3277;3679;3087;2358;
1916;3277;3679;3087;2358;
1915;3272;3663;3084;2351;
1915;3272;3663;3084;2351;
1915;3272;3663;3084;2351;
2050;3443;3830;3224;2491;
2050;3443;3830;3224;2491;
2050;3443;3830;3224;2491;
2084;3466;3849;3239;2525;
2084;3466;3849;3239;2525;
1953;3317;3701;3122;2391;
1953;3317;3701;3122;2391;
1953;3317;3701;3122;2391;
1904;3264;3659;3079;2340;
1904;3264;3659;3079;2340;
1904;3264;3659;3079;2340;
2010;3393;3788;3185;2452;
2010;3393;3788;3185;2452;
2010;3393;3788;3185;2452;
2084;3481;3867;3247;2535;
2084;3481;3867;3247;2535;
1997;3356;3736;3152;2439;
1997;3356;3736;3152;2439;
1997;3356;3736;3152;2439;
1897;3260;3658;3081;2337;
1897;3260;3658;3081;2337;
1897;3260;3658;3081;2337;
1959;3337;3736;3137;2400;
1959;3337;3736;3137;2400;
2083;3476;3866;3243;2529;
2083;3476;3866;3243;2529;
2083;3476;3866;3243;2529;
2043;3402;3793;3191;2474;
2043;3402;3793;3191;2474;
2043;3402;3793;3191;2474;
1912;3278;3668;3082;2348;
1912;3278;3668;3082;2348;
1912;3278;3668;3082;2348;
1919;3291;3679;3097;2358;
1919;3291;3679;3097;2358;
2080;3461;3850;3235;2518;
2080;3461;3850;3235;2518;
2058;3434;3825;3210;2499;
2058;3434;3825;3210;2499;
2058;3434;3825;3210;2499;
1932;3288;3680;3099;2364;
1932;3288;3680;3099;2364;
1932;3288;3680;3099;2364;
1901;3266;3663;3079;2338;
1901;3266;3663;3079;2338;
1901;3266;3663;3079;2338;
2040;3430;3816;3207;2483;
2040;3430;3816;3207;2483;
2080;3466;3853;3238;2525;
2080;3466;3853;3238;2525;
2080;3466;3853;3238;2525;
1959;3331;3712;3133;2398;
1959;3331;3712;3133;2398;
1959;3331;3712;3133;2398;
1905;3268;3659;3078;2342;
1905;3268;3659;3078;2342;
1905;3268;3659;3078;2342;
2002;3377;3773;3164;2431;
2002;3377;3773;3164;2431;
2091;3477;3868;3239;2532;
2091;3477;3868;3239;2532;
2091;3477;3868;3239;2532;
2008;3372;3766;3167;2440;
2008;3372;3766;3167;2440;
2008;3372;3766;3167;2440;
1905;3266;3661;3087;2350;
1905;3266;3661;3087;2350;
1905;3266;3661;3087;2350;
1951;3321;3718;3124;2388;
1951;3321;3718;3124;2388;
2083;3475;3862;3237;2527;
2083;3475;3862;3237;2527;
2083;3475;3862;3237;2527;
2040;3420;3813;3203;2479;
2040;3420;3813;3203;2479;
2040;3420;3813;3203;2479;
1911;3274;3666;3087;2348;
1911;3274;3666;3087;2348;
1906;3273;3673;3086;2349;
1906;3273;3673;3086;2349;
1906;3273;3673;3086;2349;
2063;3450;3845;3229;2517;
2063;3450;3845;3229;2517;
2063;3450;3845;3229;2517;
2069;3448;3835;3224;2513;
2069;3448;3835;3224;2513;
2069;3448;3835;3224;2513;
1937;3305;3690;3111;2376;
1937;3305;3690;3111;2376;
1907;3267;3665;3081;2342;
1907;3267;3665;3081;2342;
1907;3267;3665;3081;2342;
2017;3412;3806;3193;2458;
2017;3412;3806;3193;2458;
2017;3412;3806;3193;2458;
2084;3472;3863;3241;2525;
2084;3472;3863;3241;2525;
1986;3352;3735;3146;2425;
1986;3352;3735;3146;2425;
1986;3352;3735;3146;2425;
1907;3267;3661;3083;2348;
1907;3267;3661;3083;2348;
1907;3267;3661;3083;2348;
1971;3356;3741;3143;2412;
1971;3356;3741;3143;2412;
2088;3481;3867;3246;2529;
2088;3481;3867;3246;2529;
2088;3481;3867;3246;2529;
2026;3402;3783;3178;2462;
2026;3402;3783;3178;2462;
2026;3402;3783;3178;2462;
1913;3273;3662;3081;2348;
1913;3273;3662;3081;2348;
1913;3273;3662;3081;2348;
1918;3293;3685;3102;2360;
1918;3293;3685;3102;2360;
2075;3466;3849;3234;2516;
2075;3466;3849;3234;2516;
2075;3466;3849;3234;2516;
2055;3434;3821;3213;2499;
2055;3434;3821;3213;2499;
2055;3434;3821;3213;2499;
1923;3282;3673;3087;2360;
1923;3282;3673;3087;2360;
1909;3269;3659;3071;2339;
1909;3269;3659;3071;2339;
1909;3269;3659;3071;2339;
2040;3425;3821;3209;2485;
2040;3425;3821;3209;2485;
2040;3425;3821;3209;2485;
2080;3463;3850;3232;2521;
2080;3463;3850;3232;2521;
1963;3326;3720;3128;2394;
1963;3326;3720;3128;2394;
1963;3326;3720;3128;2394;
1908;3267;3662;3080;2347;
1908;3267;3662;3080;2347;
1908;3267;3662;3080;2347;
1990;3370;3762;3165;2437;
1990;3370;3762;3165;2437;
1990;3370;3762;3165;2437;
2094;3478;3869;3244;2540;
2094;3478;3869;3244;2540;
2015;3384;3758;3161;2452;
2015;3384;3758;3161;2452;
2015;3384;3758;3161;2452;
1908;3268;3660;3080;2340;
1908;3268;3660;3080;2340;
1946;3315;3707;3119;2377;
1946;3315;3707;3119;2377;
1946;3315;3707;3119;2377;
2083;3467;3854;3237;2522;
2083;3467;3854;3237;2522;
2083;3467;3854;3237;2522;
2040;3426;3809;3202;2480;
2040;3426;3809;3202;2480;
1920;3275;3676;3087;2353;
1920;3275;3676;3087;2353;
1920;3275;3676;3087;2353;
2051;3446;3831;3218;2496;
2080;3456;3837;3234;2515;
2080;3456;3837;3234;2515;
2080;3456;3837;3234;2515;
1957;3320;3708;3116;2393;
1957;3320;3708;3116;2393;
1957;3320;3708;3116;2393;
1898;3269;3662;3079;2341;
1898;3269;3662;3079;2341;
2012;3389;3777;3176;2441;
2012;3389;3777;3176;2441;
2089;3478;3865;3244;2534;
2089;3478;3865;3244;2534;
2089;3478;3865;3244;2534;
1997;3367;3755;3158;2437;
1997;3367;3755;3158;2437;
1997;3367;3755;3158;2437;
1897;3270;3659;3079;2339;
1897;3270;3659;3079;2339;
1953;3331;3719;3131;2383;
1953;3331;3719;3131;2383;
1953;3331;3719;3131;2383;
2077;3483;3868;3251;2528;
2077;3483;3868;3251;2528;
2077;3483;3868;3251;2528;
2042;3419;3802;3195;2479;
2042;3419;3802;3195;2479;
2042;3419;3802;3195;2479;
1916;3275;3673;3085;2351;
1916;3275;3673;3085;2351;
1906;3265;3667;3077;2346;
1906;3265;3667;3077;2346;
1906;3265;3667;3077;2346;
2060;3455;3835;3225;2504;
2060;3455;3835;3225;2504;
2060;3455;3835;3225;2504;
2067;3454;3841;3230;2513;
2067;3454;3841;3230;2513;
2067;3454;3841;3230;2513;
1944;3309;3696;3113;2385;
1944;3309;3696;3113;2385;
1944;3309;3696;3113;2385;
1901;3264;3661;3080;2340;
1901;3264;3661;3080;2340;
2008;3400;3790;3182;2457;
2008;3400;3790;3182;2457;
2008;3400;3790;3182;2457;
2083;3481;3868;3244;2529;
2083;3481;3868;3244;2529;
2083;3481;3868;3244;2529;
1987;3360;3742;3156;2433;
1987;3360;3742;3156;2433;
1904;3269;3661;3074;2341;
1904;3269;3661;3074;2341;
1904;3269;3661;3074;2341;
1964;3336;3725;3136;2396;
1964;3336;3725;3136;2396;
1964;3336;3725;3136;2396;
2097;3474;3870;3239;2533;
2097;3474;3870;3239;2533;
2041;3408;3800;3190;2476;
2041;3408;3800;3190;2476;
2041;3408;3800;3190;2476;
1908;3270;3665;3082;2349;
1908;3270;3665;3082;2349;
1908;3270;3665;3082;2349;
1906;3273;3668;3088;2348;
1906;3273;3668;3088;2348;
2065;3449;3845;3230;2509;
2065;3449;3845;3230;2509;
2065;3449;3845;3230;2509;
2066;3451;3836;3226;2509;
2066;3451;3836;3226;2509;
2066;3451;3836;3226;2509;
1939;3304;3694;3109;2374;
1939;3304;3694;3109;2374;
1939;3304;3694;3109;2374;
1899;3267;3661;3077;2342;
1899;3267;3661;3077;2342;
2027;3410;3799;3192;2458;
2027;3410;3799;3192;2458;
2027;3410;3799;3192;2458;
2096;3483;3865;3245;2531;
2096;3483;3865;3245;2531;
2096;3483;3865;3245;2531;
1988;3356;3736;3152;2423;
1988;3356;3736;3152;2423;
1988;3356;3736;3152;2423;
1905;3264;3661;3077;2345;
