s1,s2,s3,s4,s5
4201,3933,2868,3538,4534
4201,3933,2868,3538,4534
4201,3933,2868,3538,4534
4257,3735,2888,3695,4525
4257,3735,2888,3695,4525
4257,3735,2888,3695,4525
4257,3566,2975,3831,4510
4257,3566,2975,3831,4510
4257,3566,2975,3831,4510
4228,3407,3099,3945,4483
4228,3407,3099,3945,4483
4136,3249,3210,3991,4458
4136,3249,3210,3991,4458
4136,3249,3210,3991,4458
4053,3144,3270,4009,4435
4053,3144,3270,4009,4435
4053,3144,3270,4009,4435
4051,3137,3299,4027,4436
4051,3137,3299,4027,4436
4051,3137,3299,4027,4436
4064,3160,3287,4023,4443
4064,3160,3287,4023,4443
4161,3272,3220,4010,4465
4161,3272,3220,4010,4465
4161,3272,3220,4010,4465
4274,3451,3116,3975,4508
4274,3451,3116,3975,4508
4280,3599,3021,3898,4531
4280,3599,3021,3898,4531
4280,3599,3021,3898,4531
4273,3713,2933,3777,4537
4273,3713,2933,3777,4537
4273,3713,2933,3777,4537
4253,3828,2878,3642,4527
4253,3828,2878,3642,4527
4253,3828,2878,3642,4527
4244,3898,2867,3565,4523
4244,3898,2867,3565,4523
4221,3944,2860,3497,4522
4221,3944,2860,3497,4522
4221,3944,2860,3497,4522
4208,3903,2853,3513,4524
4208,3903,2853,3513,4524
4208,3903,2853,3513,4524
4146,3825,2821,3514,4518
4146,3825,2821,3514,4518
4146,3825,2821,3514,4518
3980,3667,2759,3496,4500
3980,3667,2759,3496,4500
3906,3618,2729,3454,4485
3906,3618,2729,3454,4485
3906,3618,2729,3454,4485
3852,3572,2709,3436,4482
3852,3572,2709,3436,4482
3852,3572,2709,3436,4482
3852,3559,2714,3455,4483
3852,3559,2714,3455,4483
3852,3559,2714,3455,4483
3901,3602,2742,3487,4507
3901,3602,2742,3487,4507
4025,3707,2814,3599,4532
4025,3707,2814,3599,4532
4025,3707,2814,3599,4532
4134,3764,2903,3748,4562
4134,3764,2903,3748,4562
4134,3764,2903,3748,4562
4251,3876,2985,3843,4573
4251,3876,2985,3843,4573
