s0,s1,s2,s3,s4
1563,3457,3888,2955,1995
1554,3450,3885,2953,1993
1554,3450,3885,2953,1993
1554,3450,3885,2953,1993
1553,3454,3887,2954,1993
1553,3454,3887,2954,1993
1553,3454,3887,2954,1993
1549,3450,3885,2951,1988
1549,3450,3885,2951,1988
1553,3451,3882,2948,1989
1553,3451,3882,2948,1989
1553,3451,3882,2948,1989
1553,3451,3883,2955,1994
1553,3451,3883,2955,1994
1553,3451,3883,2955,1994
1554,3448,3881,2951,1990
1554,3448,3881,2951,1990
1550,3450,3881,2953,1987
1550,3450,3881,2953,1987
1550,3450,3881,2953,1987
1546,3450,3883,2948,1986
1546,3450,3883,2948,1986
1546,3450,3883,2948,1986
1546,3448,3878,2950,1984
1546,3448,3878,2950,1984
1546,3448,3878,2950,1984
1544,3449,3882,2954,1988
1544,3449,3882,2954,1988
1551,3450,3883,2951,1989
1551,3450,3883,2951,1989
1551,3450,3883,2951,1989
1550,3448,3884,2951,1996
1550,3448,3884,2951,1996
1550,3448,3884,2951,1996
1551,3452,3884,2951,1989
1551,3452,3884,2951,1989
1551,3452,3884,2951,1989
1554,3446,3881,2949,1991
1554,3446,3881,2949,1991
1554,3446,3881,2949,1991
1552,3450,3885,2952,1989
1552,3450,3885,2952,1989
1553,3450,3883,2949,1993
1553,3450,3883,2949,1993
1553,3450,3883,2949,1993
1554,3450,3886,2955,1995
1554,3450,3886,2955,1995
1554,3450,3886,2955,1995
1551,3452,3885,2950,1993
1551,3452,3885,2950,1993
1551,3452,3885,2950,1993
1555,3449,3884,2954,1989
1555,3449,3884,2954,1989
1550,3455,3884,2961,1985
1550,3455,3884,2961,1985
1550,3455,3884,2961,1985
1551,3450,3883,2954,1992
1551,3450,3883,2954,1992
1553,3453,3885,2956,1987
1553,3453,3885,2956,1987
1553,3453,3885,2956,1987
1546,3450,3888,2951,1989
1546,3450,3888,2951,1989
1557,3452,3885,2952,1990
1557,3452,3885,2952,1990
1553,3450,3884,2954,1990
1553,3450,3884,2954,1990
1553,3450,3884,2954,1990
1553,3451,3885,2952,1993
1553,3451,3885,2952,1993
1555,3457,3889,2956,1993
1555,3457,3889,2956,1993
1555,3457,3889,2956,1993
1553,3452,3883,2952,1990
1553,3452,3883,2952,1990
1553,3452,3883,2952,1990
1555,3454,3885,2951,1993
1555,3454,3885,2951,1993
1555,3454,3885,2951,1993
1550,3451,3884,2954,1996
1550,3451,3884,2954,1996
1550,3451,3884,2954,1996
1553,3454,3885,2950,1989
1553,3454,3885,2950,1989
1545,3450,3885,2953,1987
1545,3450,3885,2953,1987
1545,3450,3885,2953,1987
1545,3452,3886,2952,1987
1545,3452,3886,2952,1987
1545,3452,3886,2952,1987
1555,3456,3885,2957,2004
1555,3456,3885,2957,2004
1554,3452,3885,2953,1993
1554,3452,3885,2953,1993
1554,3452,3885,2953,1993
1555,3456,3888,2955,1991
1555,3456,3888,2955,1991
1555,3456,3888,2955,1991
1551,3456,3887,2953,1992
1551,3456,3887,2953,1992
1551,3456,3887,2953,1992
1554,3453,3886,2953,1988
1554,3453,3886,2953,1988
1550,3453,3888,2951,1989
1550,3453,3888,2951,1989
1550,3453,3888,2951,1989
1552,3454,3887,2953,1990
1550,3456,3888,2954,1989
1550,3456,3888,2954,1989
1550,3456,3888,2954,1989
1554,3453,3886,2952,1989
1554,3453,3886,2952,1989
1554,3453,3886,2952,1989
1554,3454,3888,2956,1993
1554,3454,3888,2956,1993
1557,3455,3892,2956,1991
1557,3455,3892,2956,1991
1557,3455,3892,2956,1991
1554,3454,3887,2954,1993
1554,3454,3887,2954,1993
1554,3454,3887,2954,1993
1552,3455,3888,2953,1989
1552,3455,3888,2953,1989
1552,3455,3888,2953,1989
1548,3451,3884,2955,1993
1548,3451,3884,2955,1993
1548,3451,3884,2955,1993
1551,3454,3890,2954,1991
